,name
0,University town
1,66A Circuit
2,83 Devonshire
3,Admiralty Station
4,Aft Tg Katong Cplx
5,Alexandra Hospital
6,Amara Hotel
7,Ang Mo Kio Hub
8,Ang Mo Kio Station
9,Archipelago Brewery
10,Balestier Hospital
11,Balmoral Plaza
12,Bartley Station
13,Bayview Hotel B05
14,Bedok Mall
15,Bedok Station I08
16,Bendemeer
17,Bharat
18,Bishan Station
19,Blk 109 F39
20,Blk 165 F38
21,Blk 175 F08
22,Blk 19 H01
23,Blk 209 I07
24,Blk 267 G04
25,Blk 492 J10
26,Blk 5 I01
27,Blk 54 I13
28,Blk 71 I14
29,Blk 90 Food Centre
30,Block 288A Jurong East
31,Botanic Gardens Station
32,Buangkok Station G13
33,Buangkok Station G14
34,Buddha Tooth Relic Temple
35,Bugis Junction
36,Bugis Junction Tower
37,Bukit Panjang Plaza
38,Bukit Timah Shopping Centre
39,Buona Vista Station
40,Cairnhill Place
41,Caldecott Station
42,Canning Rise
43,CapitaGreen
44,Capital Tower
45,Capitol Singapore
46,Cashew MRT Taxi Stand
47,Cathay Building
48,Central Mall
49,Century Square Taxi Stand
50,Changi Airport Terminal 1
51,Changi Airport Terminal 2
52,Changi Airport Terminal 3
53,China Cultural Centre
54,China Square
55,Chinatown Point
56,Chinese Garden Station
57,Choa Chu Kang Station
58,City Plaza
59,Citystate Serviced Apartments
60,Clarke Quay
61,Clarke Quay Central
62,Clementi Station
63,Cold Storage Jelita
64,Commonwealth Station
65,Concorde Hotel & Shopping Mall
66,Cove Village
67,Dakota Station
68,Dhoby Ghaut MRT Station
69,Dover Station J05
70,Dover Station J06
71,Dragon Brand Bird's Nest Building
72,Drop off point
73,Eastpoint Shopping Mall
74,Embassy of the Republic of Indonesia
75,Expo Station
76,Far East Plaza
77,Farrer Park Station F28
78,Farrer Park Station F29
79,Farrer Road Station
80,Fort Canning Park
81,GB Building
82,Gleneagles Hospital
83,Golden Mile Complex
84,Grand Court Restaurant
85,Great Eastern Centre
86,Harbourfront Centre
87,Harbourfront Station
88,Haw Par Glass Tower
89,Haw Par Villa Station
90,Haw Par Villa tiger ban
91,Heritage Place
92,High Commission of Malaysia
93,Hitachi Towers
94,Holiday Inn Orchard City
95,Holland Drive near Buona Vista Community Club
96,Holland Road Shopping Centre
97,Hotel Fairmont Singapore
98,Hotel Grand Pacific
99,Hougang Station
100,Immigration and Checkpoints Authority
101,Innosphere
102,Institute of Mental Health
103,International Plaza
104,Istana Park
105,JTC Summit
106,Junction 8
107,Jurong East Station
108,Katong Shopping Centre
109,Keck Seng Tower
110,Khatib Station
111,Kinex
112,King Albert Park
113,KK Hospital
114,Kovan Centre
115,Kovan Station G10
116,Kovan Station G11
117,Kranji Station
118,Lakeside Station
119,LaSalle Arts College B03
120,Lau Pa Sat
121,Li Ka Shing Library
122,Liang Court Shopping Centre
123,Liat Towers
124,Little India Station F26
125,Little India Station F27
126,Lorong Chuan Station
127,Lucky Chinatown
128,Lucky Plaza
129,M Hotel
130,Mandarin Gardens
131,Marina Bay Cruise Centre
132,Marina Mandarin Hotel
133,Marina Square
134,Marsiling Station
135,MAS Building
136,Masjid Bencoolen
137,Meritus Mandarin Hotel
138,Millenia Tower
139,Millenia Walk
140,Ministry of Manpower
141,Mt Elizabeth Hospital
142,Mt Elizabeth Road at York Hotel
143,Murray Terrace Food Alley
144,National Cancer Centre Singapore Entrance
145,Newton Station F53
146,Newton Station F54
147,Ngee Ann City
148,Nicoll Highway Station
149,Northpoint Shopping Centre
150,OCBC Centre
151,OG People's Park
152,One Fullerton
153,One Raffles Quay
154,Opposite Bishan Station
155,Opposite Blk 102 F16
156,Opposite Hong Lim Park
157,Opposite Mac-Nels
158,Opposite Singapore Indoor Stadium
159,OrangeTee
160,Orchard Central Taxi Stand A21
161,Orchard Gateway
162,Orchard Road Centrepoint
163,Orchard Towers
164,Oriental Plaza D04
165,OUE Bayfront
166,OUE Downtown
167,Outram MRT Station
168,Outram Station
169,Palawan
170,Paragon Medical Centre
171,Paragon Shopping Centre 
172,Parklane Shopping Mall
173,Parkway Parade
174,Parkway Parade 1
175,Parkway Parade 2
176,Parkway Parade 3
177,Pasir Ris Station
178,Paya Lebar Station
179,People's Park Centre
180,People's Park Complex
181,Peranakan Museum
182,Pioneer Station
183,Plaza Singapura
184,Potong Pasir Station G01
185,Potong Pasir Station G02
186,PriceWaterhouseCoopers Building
187,Punggol Station G19
188,Punggol Station G20
189,Queenstown Neighbourhood Police Centre
190,Queenstown Station
191,Radin Mas Community Club
192,Raffles City (outside Nespresso)
193,Raffles City C14
194,Raffles Hotel
195,Red Dot Musuem
196,Redhill Station
197,Rendezvous Hotel B01
198,Reservoir Village
199,Riverside Point
200,Robinson 77
201,Robinson Point
202,SAFRA@29 Carpenter Street
203,Seletar Airport Passenger Terminal
204,Sembawang Shopping Centre
205,Sembawang Station
206,Sembawang Wharves
207,Sengkang Station G16
208,Sengkang Station G17
209,Sengkang Station G18
210,Serangoon Plaza
211,Serangoon Station G05
212,Serangoon Station G06
213,Serangoon Station G07
214,SGH Block 4 Entrance
215,SGH Block 7 Entrance
216,SGX Centre
217,Shaw Towers
218,Siloso Point
219,Sim Lim Square
220,Singapore General Hospital
221,Singapore National Eye Centre Entrance
222,Singapore Polytechnic Gate 1
223,Singapore Turf Club
224,Singpost Centre Main Entry
225,Singpost Centre North Lobby
226,SMU School of Econ & Social Sciences
227,SMU School of Information Systems
228,Sri Mariamman Temple
229,Stadium Station
230,Stamford Arts Centre
231,Starhub Centre
232,Straits Trading
233,Sultan Plaza
234,Summerview Hotel
235,Sun Plaza
236,Suntec City
237,Suntec Tower 1 & 2
238,Suntec Tower 3 & 4
239,Swissotel The Stamford
240,Tampines Mall
241,Tan Tye Place & Clarke Quay
242,Tanah Merah Station I05
243,Tanah Merah Station I06
244,Tanglin Mall
245,Tanjong Katong Complex
246,Tanjong Pagar Plaza
247,Telok Ayer Station
248,The Adelphi
249,The Bayshore
250,The Esplanade
251,The Riverwalk
252,Thian Hock Keng Temple
253,Thomson Plaza
254,Tiong Bahru Market
255,Tiong Bahru Plaza
256,Victoria Theatre
257,White Sands
258,Wisma Atria Shopping Centre
259,Woodlands Station H15
260,Woodlands Train Checkpoint Complex
261,Woodleigh Station G03
262,Yew Tee Station
263,Yio Chu Kang MRT Station
264,Yishun Station H08
265,Yishun Station H09
266,Zhongshan Mall
267,Zhulin Building
268,Zhuopu Building
